Item_ID,Leg_Armor_Rating,Body_Armor_Rating,Arm_Armor_Rating,Head_Armor_Rating,Armor_Rating,Total_Armor_Rating,Material,Merchandise
269,3,13,3,0,0,19,Cloth,Yes
270,1,2,1,0,0,4,Cloth,Yes
271,3,6,3,0,0,12,Cloth,Yes
272,6,3,0,0,0,9,Leather,Yes
273,8,17,4,0,0,29,Cloth,Yes
274,8,18,4,0,0,30,Cloth,Yes
275,3,3,0,0,0,6,Leather,Yes
276,10,29,8,0,0,47,Chainmail,Yes
277,4,19,3,0,0,26,Leather,Yes
278,2,4,2,0,0,8,Cloth,Yes
279,7,14,4,0,0,25,Leather,Yes
280,18,51,19,0,0,88,Plate,Yes
281,16,50,14,0,0,80,Chainmail,Yes
282,4,34,2,0,0,40,Plate,Yes
283,8,42,5,0,0,55,Plate,Yes
284,14,46,14,0,0,74,Chainmail,Yes
285,8,37,2,0,0,47,Plate,Yes
286,4,28,2,0,0,34,Plate,Yes
287,12,28,6,0,0,46,Plate,Yes
288,4,28,8,0,0,40,Chainmail,Yes
289,1,2,1,0,0,4,Cloth,Yes
290,2,3,1,0,0,6,Cloth,Yes
291,24,48,14,0,0,86,Plate,Yes
292,16,46,14,0,0,76,Plate,Yes
293,11,27,10,0,0,48,Chainmail,Yes
294,1,4,2,0,0,7,Leather,Yes
295,3,14,2,0,0,19,Leather,Yes
296,5,8,2,0,0,15,Cloth,Yes
297,19,45,6,0,0,70,Plate,Yes
298,3,8,3,0,0,14,Leather,Yes
299,2,3,1,0,0,6,Cloth,Yes
300,2,5,2,0,0,9,Cloth,Yes
301,2,4,2,0,0,8,Cloth,Yes
302,2,4,1,0,0,7,Cloth,Yes
303,2,3,2,0,0,7,Cloth,Yes
304,2,4,2,0,0,8,Cloth,Yes
305,2,2,1,0,0,5,Cloth,Yes
306,6,13,6,0,0,25,Leather,Yes
307,12,24,6,0,0,42,Leather,Yes
308,3,26,2,0,0,31,Cloth,Yes
309,8,18,6,0,0,32,Leather,Yes
310,2,3,0,0,0,5,Cloth,Yes
311,15,32,15,0,0,62,Chainmail,Yes
312,18,30,8,0,0,56,Chainmail,Yes
313,3,6,3,0,0,12,Cloth,Yes
314,1,5,1,0,0,7,Cloth,Yes
315,3,8,2,0,0,13,Cloth,Yes
316,37,37,37,0,0,111,Chainmail,No
317,12,12,12,0,0,36,Leather,No
318,55,55,55,0,0,165,Plate,No
319,0,0,0,0,0,0,Cloth,No
320,4,8,4,0,0,16,Cloth,Yes
321,3,5,3,0,0,11,Cloth,Yes
322,13,24,12,0,0,49,Chainmail,Yes
323,3,6,1,0,0,10,Cloth,Yes
324,3,14,3,0,0,20,Leather,Yes
325,5,12,2,0,0,19,Leather,Yes
326,5,12,2,0,0,19,Leather,Yes
327,6,2,0,0,0,8,Leather,Yes
328,6,4,2,0,0,12,Leather,Yes
329,1,6,1,0,0,8,Cloth,Yes
330,3,6,3,0,0,12,Cloth,Yes
331,2,6,2,0,0,10,Leather,Yes
332,15,29,8,0,0,52,Chainmail,Yes
333,1,3,1,0,0,5,Cloth,Yes
334,9,18,9,0,0,36,Cloth,Yes
335,25,50,15,0,0,90,Plate,Yes
336,16,51,16,0,0,83,Plate,Yes
337,21,50,7,0,0,78,Plate,Yes
338,18,35,2,0,0,55,Plate,Yes
339,2,28,2,0,0,32,Plate,Yes
340,14,28,14,0,0,56,Chainmail,Yes
341,14,27,12,0,0,53,Chainmail,Yes
342,13,31,10,0,0,54,Chainmail,Yes
343,8,28,2,0,0,38,Chainmail,Yes
344,10,20,8,0,0,38,Chainmail,Yes
345,20,57,16,0,0,93,Plate,Yes
346,2,7,1,0,0,10,Cloth,Yes
347,2,4,1,0,0,7,Cloth,Yes
348,22,48,12,0,0,82,Chainmail,Yes
349,4,0,0,0,0,4,Chainmail,Yes
350,3,7,0,0,0,10,Chainmail,Yes
351,4,23,4,0,0,31,Chainmail,Yes
352,8,34,4,0,0,46,Chainmail,Yes
353,8,32,4,0,0,44,Chainmail,Yes
354,6,31,3,0,0,40,Plate,Yes
355,15,42,12,0,0,69,Plate,Yes
356,5,6,3,0,0,14,Chainmail,Yes
357,5,15,3,0,0,23,Chainmail,Yes
358,8,25,8,0,0,41,Chainmail,Yes
359,12,25,10,0,0,47,Chainmail,Yes
360,10,24,10,0,0,44,Chainmail,Yes
361,7,15,4,0,0,26,Cloth,Yes
362,8,16,4,0,0,28,Cloth,Yes
363,8,16,4,0,0,28,Cloth,Yes
364,8,16,4,0,0,28,Cloth,Yes
365,8,16,5,0,0,29,Cloth,Yes
366,6,31,6,0,0,43,Chainmail,Yes
367,6,31,6,0,0,43,Chainmail,Yes
368,12,26,12,0,0,50,Chainmail,Yes
369,8,16,6,0,0,30,Cloth,Yes
370,3,5,2,0,0,10,Cloth,Yes
371,2,3,1,0,0,6,Cloth,Yes
372,26,46,23,0,0,95,Plate,Yes
373,23,42,3,0,0,68,Leather,Yes
374,1,2,1,0,0,4,Cloth,Yes
375,4,7,2,0,0,13,Cloth,Yes
