Item_ID,Item_Type_ID,Culture_ID,Item_Name,Weight,Civilian
1,1,2,Falx Knife,0.82,Yes
2,1,2,Highland Dagger,0.78,Yes
3,1,3,Pugio,0.76,Yes
4,1,6,Seax,0.44,Yes
5,1,3,Xiphos,0.93,Yes
6,1,5,Falchion,1.69,Yes
7,1,3,Iron Spatha,1.69,Yes
8,1,2,Ridged Iron Broadsword,2.09,Yes
9,1,5,Simple Bastard Sword,1.25,Yes
10,1,5,Simple Scimitar,1.23,Yes
11,1,6,Tapered Blade,1.11,Yes
12,1,6,Backsword,1.18,Yes
13,1,2,Broad Ridged Shortsword,1.35,Yes
14,1,2,Broadsword,1.75,Yes
15,1,6,Gold Bound Short Warsword,1.34,Yes
16,1,7,Iron Arming Sword,1.34,Yes
17,1,1,Iron Flyssa,1.53,Yes
18,1,4,Iron Saber,1.23,Yes
19,1,1,Iron Scimitar,1.38,Yes
20,1,3,Iron Spatha,1.3,Yes
21,1,7,Short Sword,1.49,Yes
22,1,5,Star Falchion,2.3,No
23,1,5,Cleaver,1.8,No
24,1,5,Narrow Sword,1.52,Yes
25,1,6,Pointy Warsword,1.14,Yes
26,1,5,Broad Falchion,2.14,No
27,1,4,Broad Ild,1.39,Yes
28,1,7,Decorated Fullered Sword,1.54,Yes
29,1,6,Decorated Long Warsword,1.54,Yes
30,1,1,Fine Steel Long Kaskara,"1,84",No
31,1,3,Fine Steel Paramerion,1.5,No
32,1,3,Fine Steel Spatha,1.48,Yes
33,1,6,Fullered Narrow Warsword,1.23,Yes
34,1,4,Long Saber,1.4,Yes
35,1,6,Long Warsword,1.41,Yes
36,1,5,Pointed Falchion,1.68,No
37,1,7,Ridged Tipped Arming Sword,1.45,Yes
38,1,3,Spatha with Narrow Fuller,1.37,Yes
39,1,5,Scalpel,1.47,No
40,1,1,Slightly Ridged Flyssa,1.45,No
41,1,3,Spatha,1.41,Yes
42,1,4,Straight Saber,1.35,Yes
43,1,7,The Ambassador,1.69,No
44,1,6,Tyrhung,1.95,Yes
45,1,7,Arming Sword with Circle,1.4,Yes
46,1,5,Broad Arming Sword,1.67,No
47,1,7,Crescent Guarded Arming Sword,1.37,Yes
48,1,7,Decorated Arming Sword,1.34,Yes
49,1,4,Decorated Saber,1.8,No
50,1,1,Desert Long Sword,1.93,No
51,1,1,Engraved Angular Kaskara,1.63,Yes
52,1,2,Fine Steel Cavalry Broadsword,1.49,No
53,1,4,Fine Steel Saber,1.55,Yes
54,1,6,Fullered Long Warsword,1.52,Yes
55,1,4,Heavy Sabre,1.62,Yes
56,1,2,Highland Fine Steel Blade,1.54,Yes
57,1,7,Knightly Arming Sword,1.41,Yes
58,1,1,Long Fine Steel Scimitar,1.7,No
59,1,1,Narrow Fine Steel Kaskara,1.6,No
60,1,7,Ridged Arming Sword,1.54,No
61,1,1,Ridged Saber,1.53,No
62,1,4,Tall Gripped Ild Sword,1.8,No
63,1,3,Thamaskene Steel Spathion,1.37,No
64,1,6,Thamaskene Steel Warsword,1.54,Yes
65,1,7,Wide Fullered Broad Arming Sword,1.9,No
66,1,2,Decorated Broadsword,1.17,Yes
67,1,1,Decorated Kaskara,1.73,Yes
68,1,1,Decorated Long Scimitar,1.78,Yes
69,1,1,Decorated Scimitar with Wide Grip,1.73,Yes
70,1,2,Engraved Backsword,1.77,Yes
71,1,4,Lion Imprinted Saber,1.7,No
72,1,1,Thamaskene Steel Kaskara,1.43,No
73,1,5,Hatchet,1.05,Yes
74,1,5,Pickaxe,1.05,Yes
75,1,5,Sickle,1.18,Yes
76,1,1,Bamboo Handled Ascia Axe,1.02,No
77,1,1,Bamboo Handled Axe,0.96,No
78,1,5,Galloglaich Axe,1.03,No
79,1,7,Infantry Axe,0.92,No
80,1,5,Norse Hatchet,1.09,No
81,1,5,Small Bit Axe,1.12,No
82,1,5,Small Spurred Axe,1.05,No
83,1,1,Wood Splitter Axe,1.15,No
84,1,5,Broad Tzikourion,1.23,No
85,1,6,Commoner Axe,0.94,No
86,1,5,Large Franziska Axe,1.21,No
87,1,6,Simple Raider Battle Axe,1.15,No
88,1,3,Tzikourion,1.08,No
89,1,2,Woodland Axe,1.27,No
90,1,1,Bamboo Axe,1.21,No
91,1,5,Battle Axe,1.01,No
92,1,2,One Handed Bearded Axe,1.03,No
93,1,5,Spiked Battle Axe,1.1,No
94,1,6,Veteran Warrior Axe,1.19,No
95,1,6,Rectangular Bitted Axe,1.05,No
96,1,2,Round Bitted Fine Steel Hatchet,1.05,No
97,1,5,Wooden Hammer,1.48,Yes
98,1,5,Blacksmith Hammer,1.4,Yes
99,1,2,Knobbed Club,1.34,No
100,1,5,Spiked Club,1.14,No
101,1,5,Spiked Mace,1.38,No
102,1,1,Fullered Light Mace,1.32,No
103,1,2,Highland Spiked Club,1.42,No
104,1,4,Steppe Light Mace,1.73,No
105,1,1,Heavy Horseman Mace,1.86,No
106,1,2,Highland Mace,2.13,No
107,1,5,Judgement,1.83,No
108,1,1,Light Mace,1.8,No
109,1,5,Morningstar,2.16,No
110,1,5,Steel Shestopyor,2.24,No
111,1,5,Light Mace,1.8,No
112,1,3,Calradic Mace,1.8,No
113,1,4,Eastern Heavy Mace,2.35,No
114,1,4,Fine Steel Mace,2.12,No
115,1,7,Fullered Cavalry Mace,2.1,No
116,1,3,Imperial Light Mace,1.9,No
117,1,1,Light Shishpar Mace,1.57,No
118,1,1,Spiralled Mace,2.05,No
119,1,3,Cataphract Mace,2.23,No
120,1,4,Heavy Flanged Mace,2.29,No
121,1,3,Light Royal Mace,2.3,No
122,1,7,Pernach,1.92,No
123,1,4,Steel Mace,1.88,No
124,1,3,Justicier,1.41,Yes
125,1,2,Battanian Mountain Blade,1.22,Yes
126,1,1,Broad Kaskara,1.52,No
127,1,2,Early Retirement,1.32,No
128,1,2,Falx,1.52,No
129,1,6,Fine Steel Two Handed Sword,1.48,Yes
130,1,2,Highland Broadsword,1.85,Yes
131,1,2,Highland Fine Two Handed Sword,1.63,Yes
132,1,2,Reaper,1.64,No
133,1,5,Ridged Great Saber,1.86,No
134,1,1,Ridged Long Kaskara,1.76,Yes
135,1,7,Tapered Two-Hander,1.67,Yes
136,1,5,Two-Handed Cleaver,2.28,No
137,1,5,War Razor,1.54,No
138,1,2,Iron Broadsword,1.99,Yes
139,1,7,Broad Two Hander,1.67,No
140,1,2,Northlander Wide Fullered Greatsword,2.08,Yes
141,1,7,Sentinel,1.88,Yes
142,1,7,Thamaskene Steel Two Hander,2.04,No
143,1,7,Wide Fullered Broad Two Hander,1.92,No
144,1,5,Hoe*,1.57,Yes
145,1,5,Simple Sparth Axe,1.13,No
146,1,2,Square Bit Two Handed Axe,1.4,No
147,1,5,Bearded Axe,1.12,No
148,1,5,Black Heart,1.64,No
149,1,1,Executioner Axe,1.88,No
150,1,7,Hooked Cavalry Axe,1.52,No
151,1,6,Northlander Broad Axe,1.3,No
152,1,7,Short Bill,1.72,No
153,1,1,Short Handled Bardiche,1.6,No
154,1,6,Avalanche,1.36,No
155,1,6,Drilled Two Handed Axe,1.32,No
156,1,1,Heavy Executioner Axe,1.49,No
157,1,6,Northlander Decorated Two Handed Axe,1.68,No
158,1,2,Sledgehammer,1.96,Yes
159,1,5,Iron Pitchfork,1.92,Yes
160,1,5,Pitchfork,1.47,Yes
161,1,6,Military Fork,2.17,No
162,1,5,Short Militia Spear,1.94,No
163,1,7,Simple Commoner Spear,1.83,No
164,1,6,Short Simple Raider Spear,2.11,No
165,1,4,Weighted Steppe Spear,1.73,No
166,1,5,Broad Leaf Shaped Spear,1.79,No
167,1,1,Knob Headed Spear,1.82,No
168,1,1,Knob Headed Spear with Frills,1.82,No
169,1,3,Light Cavalry Lance,1.95,No
170,1,7,Light Lance,2.12,No
171,1,4,Light Steppe Rider Spear,1.91,No
172,1,4,Long Narrow Headed Spear,2.17,No
173,1,4,Narrow Long Headed Spear,2.17,No
174,1,2,Reinforced Highland Spear,2.46,No
175,1,7,Tall Tipped Long Spear,2.07,No
176,1,7,Tall Tipped Spear,2.1,No
177,1,5,Triangular Headed Spear,1.83,No
178,1,6,Druzhinnik Lance,1.88,No
179,1,1,Fine Steel Leaf Spear,2.01,No
180,1,5,Fine Steel Spear,2,No
181,1,4,Heavy Cavalry Lance,1.94,No
182,1,6,Jagged Fine Steel Spear,1.87,No
183,1,7,Knight Lance,1.99,No
184,1,5,Long Fine Steel Spear,2.06,No
185,1,1,Long Thamaskene Tipped Spear,1.96,No
186,1,1,Mamluke Lance,1.85,No
187,1,2,Steel Tipped Hooked Spear,2.03,No
188,1,5,Wide Leaf Spear,2.02,No
189,1,6,Fine Steel Hewing Spear,1.92,No
190,1,6,Heavy Druzhinnik Lance,2.16,No
191,1,7,Heavy Knight Lance,2.21,No
192,1,2,Highland War Spear,1.85,No
193,1,4,Jagged Throwing Spear*,1.43,No
194,1,4,Noble Cavalry Lance,1.9,No
195,1,3,Pilum*,1.19,No
196,1,4,Thin Fine Steel Hewing Spear,1.4,No
197,1,3,Fine Steel Menavlion,1.81,No
198,1,4,Glaive,2.04,No
199,1,4,Long Glaive,1.4,No
200,1,3,Menavlion,1.81,No
201,1,1,Polesword,2.45,No
202,1,7,Voulge,1.51,No
203,1,5,Simple Pike,1.62,No
204,1,5,Scythe,2.7,Yes
205,1,5,Notched Military Fork,2.09,No
206,1,5,Fine Pike,2.81,No
207,1,3,Courser Lance,2.22,No
208,1,5,Thamaskene Pike,2.78,No
209,1,3,Cataphract Lance,2.04,No
210,1,7,Pike,3.19,No
211,1,7,Billhook,1.69,No
212,1,2,Rhomphaia,1.2,No
213,1,6,Warrazor,1.83,No
214,2,5,Hunting Bow,0.3,Yes
215,2,2,Mountain Hunting Bow,0.3,Yes
216,2,4,Steppe Bow,0.3,Yes
217,2,5,Ranger Bow,0.4,No
218,2,5,Longbow,0.4,No
219,2,7,Lowland Longbow,0.5,No
220,2,6,Nordic Shortbow,0.3,Yes
221,2,5,Simple Short Bow,0.3,Yes
222,2,4,Heavy Recurve Bow,0.3,No
223,2,1,Nomad Bow,0.5,Yes
224,2,4,Steppe Recurve Bow,0.3,No
225,2,4,Steppe War Bow,0.3,No
226,2,2,Woodland Yew Bow,0.5,No
227,2,7,Yew Bow,0.5,No
228,2,1,Strong Tribesman Bow,0.3,No
229,2,2,Woodland Longbow,0.1,No
230,2,5,Noble Bow,0.8,No
231,2,5,Noble Long Bow,0.8,No
232,2,5,Simple Light Crossbow,1,Yes
233,2,5,Heavy Crossbow,2.7,No
234,2,7,Light Crossbow,2.2,Yes
235,2,7,Arbalest,3,No
236,2,7,Fine Light Crossbow,2.2,Yes
237,2,3,Hickory Crossbow,2.2,No
238,2,7,Bound Crossbow,2,No
239,2,5,Arrows,0.7,Yes
240,2,5,Barbed Arrows,1.2,Yes
241,2,5,Lowland Arrows,0.5,Yes
242,2,5,Range Arrows,0.5,Yes
243,2,4,Steppe Arrows,0.8,Yes
244,2,5,Light Bodkin Arrows,1,Yes
245,2,5,Bodkin Arrows,1.5,Yes
246,2,5,Piercing Arrows,2,Yes
247,2,5,Stacked Bodkin Arrows,1.2,Yes
248,2,4,Stacked Steppe Arrows,1.1,No
249,2,7,Francesca,2.04,No
250,2,2,Highland Throwing Axe*,2.16,No
