Item_ID,Tier,Swing_Speed,Swing_Damage,Thrust_Speed,Thrust_Damage,Length,Handling,Merchandise
1,1,118,35,98,35,54,115,No
2,1,123,30,99,35,37,117,No
3,1,124,28,100,35,35,118,No
4,1,127,18,103,34,52,118,No
5,1,118,35,36,97,35,115,No
6,2,96,58,90,28,71,100,Yes
7,2,88,61,89,40,93,89,Yes
8,2,82,66,85,34,92,81,Yes
9,2,95,53,94,37,98,95,Yes
10,2,98,53,94,32,90,96,Yes
11,2,104,47,95,31,83,105,Yes
12,3,105,54,94,40,77,105,Yes
13,3,103,57,93,41,79,104,Yes
14,3,86,71,89,41,96,89,Yes
15,3,101,40,93,23,84,101,Noble
16,3,92,57,93,35,103,92,Yes
17,3,84,61,90,32,116,85,Yes
18,3,100,52,94,32,90,101,Yes
19,3,92,60,92,30,103,92,Yes
20,3,93,55,93,37,103,94,Yes
21,3,103,58,92,41,66,104,Yes
22,3,70,81,0,0,111,76,Yes
23,3,82,76,88,35,105,86,Yes
24,3,88,70,90,40,94,91,Yes
25,3,103,56,94,40,84,103,Yes
26,4,77,78,85,32,108,82,Yes
27,4,86,72,92,34,114,87,Yes
28,4,101,68,90,45,72,103,Noble
29,4,98,49,90,41,82,100,Noble
30,4,79,78,87,38,116,83,Yes
31,4,84,72,90,49,116,84,Yes
32,4,89,68,91,50,107,90,Yes
33,4,100,63,94,42,89,98,Yes
34,4,88,70,92,34,110,90,Yes
35,4,93,69,92,42,100,95,Yes
36,4,82,93,0,0,108,85,Yes
37,4,91,67,92,41,104,92,Yes
38,4,91,63,92,45,103,92,Yes
39,4,82,73,90,36,120,84,Tournaments
40,4,85,72,91,36,115,87,Yes
41,4,91,64,92,45,103,92,Yes
42,4,90,69,92,34,109,91,Yes
43,4,81,77,89,38,114,83,Tournaments
44,4,85,71,87,41,96,89,Tournaments
45,5,99,71,92,45,84,100,Noble
46,5,85,76,89,42,109,88,Yes
47,5,103,64,93,46,76,103,Noble
48,5,101,70,93,45,82,102,Noble
49,5,93,81,88,35,81,96,Noble
50,5,80,81,87,38,111,82,Yes
51,5,96,77,90,40,84,96,Noble
52,5,84,75,90,43,117,86,Yes
53,5,88,73,90,36,108,89,Yes
54,5,93,73,90,45,97,94,Yes
55,5,86,74,90,36,112,88,Yes
56,5,93,71,90,53,92,95,Noble
57,5,92,73,92,42,105,94,Yes
58,5,79,79,89,36,126,81,Yes
59,5,85,77,90,37,116,86,Yes
60,5,86,76,90,42,113,87,Yes
61,5,90,76,90,38,100,88,Yes
62,5,90,85,88,35,88,91,Noble
63,5,87,75,92,50,114,87,Yes
64,5,100,72,90,41,73,102,Noble
65,5,81,84,87,49,105,83,Yes
66,6,98,86,94,31,96,97,Noble
67,6,87,83,89,42,103,87,Noble
68,6,87,86,88,36,100,88,Noble
69,6,90,83,89,33,96,90,Noble
70,6,82,103,88,42,110,78,Noble
71,6,90,81,89,38,99,90,Noble
72,6,86,81,91,42,110,86,Yes
73,1,108,37,0,0,45,108,Yes
74,1,107,44,0,0,50,106,Yes
75,1,97,43,0,0,82,98,Yes
76,2,99,58,0,0,62,97,Yes
77,2,99,57,0,0,64,97,Yes
78,2,97,60,0,0,65,95,Yes
79,2,97,59,0,0,70,93,Yes
80,2,96,62,0,0,65,94,Yes
81,2,101,58,0,0,57,99,Yes
82,2,97,59,0,0,65,95,Yes
83,2,98,59,0,0,62,97,Yes
84,3,90,71,0,0,74,87,Yes
85,3,99,65,0,0,68,96,Yes
86,3,94,68,0,0,67,91,Yes
87,3,92,71,0,0,75,89,No
88,3,88,73,0,0,81,86,Yes
89,3,94,70,0,0,62,94,Yes
90,4,84,79,0,0,73,83,Yes
91,4,95,72,0,0,70,92,No
92,4,94,73,0,0,68,91,No
93,4,95,73,0,0,67,94,No
94,4,94,75,0,0,62,93,No
95,5,88,82,0,0,84,84,No
