Item_ID,Mount_Type,Tier,Weight_Bonus,Riding,Charge,Speed,Maneuver,HP
996,Noble Mount,6,20,90,24,63,82,245
997,Noble Mount,5,20,65,20,65,73,220
998,Mount,2,20,20,20,46,57,250
999,Noble Mount,5,20,80,26,55,72,320
1000,Mount,1,20,10,20,44,60,225
1001,War Mount,3,20,35,26,50,60,210
1002,War Mount,2,20,30,22,48,67,220
1003,Noble Mount,6,20,90,31,62,71,230
1004,War Mount,2,20,35,18,51,73,200
1005,Mount,1,20,20,16,48,65,215
1006,Mount,4,20,65,28,48,69,290
1007,Mount,1,20,10,20,47,55,210
1008,Pack Mount,0,100,0,3,31,48,100
1009,Mount,1,20,10,14,54,59,200
1010,Noble Mount,4,20,55,27,56,71,240
1011,Pack Mount,0,100,0,4,35,39,230
1012,Noble Mount,5,20,60,28,59,66,220
1013,War Mount,3,20,40,20,57,63,200
1014,Mount,1,20,15,22,44,61,200
1015,Noble Mount,6,20,80,36,52,73,270
1016,Pack Mount,0,100,0,12,37,52,260
1017,Mount,1,20,20,18,49,63,200
1018,Pack Mount,0,100,0,4,34,41,260
1019,Noble Mount,6,20,80,31,56,76,250
1020,War Mount,3,20,35,30,46,58,240
1021,Noble Mount,6,20,95,24,68,78,230
1022,War Mount,3,20,45,24,48,67,230
1023,Pack Mount,0,100,0,4,35,50,220
1024,War Mount,3,20,35,22,45,66,270
