Item_ID,Tier,Skill,Draw _Speed,Damage,Accuracy,Missile_Speed,Usable_on_Horseback,Reload_on_Horseback,Reload_Speed
214,1,10,87,45,85,64,Yes,Yes,102
215,1,10,86,46,82,67,Yes,Yes,98
216,1,10,86,46,80,68,Yes,Yes,92
217,2,15,86,55,83,65,No,No,85
218,3,15,85,60,88,70,No,No,88
219,3,30,80,65,94,74,No,No,96
220,3,30,89,52,95,71,Yes,Yes,100
221,3,30,88,56,93,73,Yes,Yes,82
222,4,30,87,62,91,76,Yes,Yes,93
223,4,30,89,70,94,73,No,No,90
224,4,30,89,62,94,78,Yes,Yes,87
225,4,50,89,66,95,80,Yes,Yes,80
226,4,50,91,73,92,76,No,No,85
227,4,50,90,69,94,79,No,No,88
228,5,50,88,79,95,86,No,No,85
229,5,50,88,76,94,82,No,No,90
230,6,70,94,80,100,90,Yes,Yes,83
231,6,70,91,95,98,85,No,No,79
232,3,15,0,67,80,60,No,No,70
233,4,20,0,82,96,80,No,No,61
234,4,20,0,77,85,65,No,No,75
235,5,20,0,89,98,87,No,No,60
236,5,40,0,85,90,70,No,No,80
237,5,40,0,93,99,90,No,No,62
238,6,70,0,100,100,97,No,No,63
239,1,0,0,2,0,102,Yes,No,0
240,1,0,0,3,0,95,Yes,No,0
241,2,0,0,1,0,100,Yes,No,0
242,2,0,0,1,8,110,Yes,No,0
243,2,0,0,2,0,100,Yes,No,0
244,3,0,0,4,0,105,Yes,No,0
245,3,0,0,5,0,115,Yes,No,0
246,4,0,0,6,0,120,Yes,No,0
247,4,0,0,5,0,118,Yes,No,0
248,4,0,0,4,5,105,Yes,No,0
249,3,3,0,64,55,27,Yes,No,0
250,4,5,0,74,58,27,Yes,No,0
251,4,5,0,70,58,27,Yes,No,0
252,4,5,0,70,56,27,Yes,No,0
253,4,5,0,70,56,27,Yes,No,0
254,1,1,0,33,85,32,Yes,No,0
255,1,1,0,28,80,32,Yes,No,0
256,1,1,0,30,85,32,Yes,No,0
257,1,1,0,28,80,32,Yes,No,0
258,2,4,0,30,88,32,Yes,No,0
259,1,5,0,60,70,29,Yes,No,0
260,1,5,0,67,65,29,Yes,No,0
261,2,10,0,70,72,29,Yes,No,0
262,2,10,0,89,75,28,Yes,No,0
263,3,25,0,113,60,28,Yes,No,0
264,3,25,0,96,73,28,Yes,No,0
265,3,25,0,96,74,29,Yes,No,0
266,4,40,0,101,68,28,Yes,No,0
267,4,40,0,117,62,28,Yes,No,0
268,6,70,0,121,80,28,Yes,No,0
