Item_ID,Durability,Resistance,Size,Speed,Base Value
964,360,1,100,100,42
965,260,3,79,100,40
966,310,8,79,96,80
967,440,1,100,100,95
968,195,4,100,93,26
969,260,8,100,90,65
970,310,12,100,87,105
971,350,15,100,84,210
972,410,19,100,81,430
973,160,8,79,105,96
974,200,14,79,103,195
975,250,22,79,100,370
976,160,6,72x105,96,36
977,210,11,72x105,93,74
978,260,14,72x105,90,160
979,305,19,72x105,87,332
980,160,16,59x79,103,229
981,220,23,59x79,100,390
982,410,2,100,80,227
983,600,1,162,76,227
984,165,5,72x105,96,33
985,215,10,72x105,93,70
986,265,13,72x105,90,156
987,310,18,72x105,87,320
988,165,14,59x79,103,205
989,225,23,59x79,100,360
990,280,4,85x143,89,60
991,360,8,85x143,85,114
992,430,10,85x143,81,210
993,550,14,85x143,78,370
994,330,16,79,90,140
995,700,16,79,61,697
